id,venue,auction,lot,reported_date,date_basis,family,denomination,grade,strike,surface,notes,amount,currency,price_basis,buyer_premium_rate,buyer_price_before_tax_shipping,cohort,evidence,checked_on,source_url
Heritage-232622-64014,Heritage,232622,64014,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,5,4,,2135,USD,includes buyer premium,0.22,2135.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64015,Heritage,232622,64015,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,4,4,,2196,USD,includes buyer premium,0.22,2196.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64016,Heritage,232622,64016,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,5,3,brushed,1708,USD,includes buyer premium,0.22,1708.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64017,Heritage,232622,64017,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,2,4,flan flaws,1159,USD,includes buyer premium,0.22,1159.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64018,Heritage,232622,64018,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,4,,1281,USD,includes buyer premium,0.22,1281.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64019,Heritage,232622,64019,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,3,,1220,USD,includes buyer premium,0.22,1220.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64020,Heritage,232622,64020,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,4,4,,1128.5,USD,includes buyer premium,0.22,1128.5,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64021,Heritage,232622,64021,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,4,3,brushed,1128.5,USD,includes buyer premium,0.22,1128.5,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64022,Heritage,232622,64022,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,AU,5,4,,1586,USD,includes buyer premium,0.22,1586.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64023,Heritage,232622,64023,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,AU,5,3,brushed,1159,USD,includes buyer premium,0.22,1159.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64024,Heritage,232622,64024,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice XF,5,4,,1037,USD,includes buyer premium,0.22,1037.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232622-64025,Heritage,232622,64025,2026-05-28,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice XF,4,4,,976,USD,includes buyer premium,0.22,976.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232622&auction_year=2026&dept=1909&mode=archive&session_desc=3767&sold_status=1526~1524
Heritage-232635-64008,Heritage,232635,64008,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,5,4,,2074,USD,includes buyer premium,0.22,2074.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64009,Heritage,232635,64009,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,5,4,,2074,USD,includes buyer premium,0.22,2074.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64010,Heritage,232635,64010,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,MS,5,4,,2379,USD,includes buyer premium,0.22,2379.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64011,Heritage,232635,64011,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,4,"Archive reports sold; cached individual lot page still displays an earlier live bid. Use archive result, not live bid.",1442.04,USD,includes buyer premium,0.22,1442.04,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64012,Heritage,232635,64012,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,4,,1708,USD,includes buyer premium,0.22,1708.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64013,Heritage,232635,64013,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,4,,2074,USD,includes buyer premium,0.22,2074.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
Heritage-232635-64014,Heritage,232635,64014,2026-08-27,archive auction end date; individual session may be previous day,Classical mass issue,AR tetradrachm,Choice AU,5,4,,1464,USD,includes buyer premium,0.22,1464.0,current consecutive lots,auction reported sold,2026-09-17,https://coins.ha.com/c/search/results.zx?archive_state=5327&auction_name=232635&auction_year=2026&dept=1909&ic4=OtherResults-SampleItem-AuctionNo-051517&mode=archive&sold_status=1526~1524
